user_id,avg_frequency_order
2,4.0
4,24.5
5,19.0
6,11.0
7,4.0
10,30.0
11,19.0
12,14.0
13,4.333333333333333
14,18.25
15,6.0
16,20.666666666666668
17,5.0
19,11.0
20,0.0
21,7.666666666666667
22,17.5
23,30.0
24,24.0
25,30.0
26,7.5
27,4.2
28,12.6
29,13.0
30,11.0
31,5.0
32,30.0
33,30.0
34,0.0
35,21.5
36,7.857142857142857
37,9.0
38,22.0
40,5.333333333333333
42,13.0
43,7.0
46,7.0
47,5.0
50,5.0
51,16.0
52,8.0
54,2.6363636363636362
55,30.0
56,2.5
57,5.0
58,11.0
59,24.333333333333332
60,29.0
61,14.0
62,4.0
63,8.333333333333334
65,15.0
66,30.0
67,6.333333333333333
68,30.0
69,14.0
70,24.0
71,10.0
72,21.5
73,25.5
74,10.0
75,11.333333333333334
77,18.5
78,30.0
79,3.5
80,6.0
81,29.5
82,7.25
83,20.0
84,14.0
86,25.0
87,10.666666666666666
88,0.0
89,11.0
90,3.0833333333333335
91,6.8
94,19.5
95,21.0
96,19.0
97,14.0
98,17.5
99,16.666666666666668
101,20.0
102,20.5
103,17.333333333333332
104,21.0
105,12.0
107,20.0
108,18.0
109,4.5
110,7.75
111,0.0
112,10.0
113,17.5
115,15.333333333333334
117,30.0
118,15.0
122,15.0
123,23.5
124,21.0
125,12.0
126,21.0
127,15.25
128,2.0
129,1.0
132,4.666666666666667
133,7.0
134,30.0
137,30.0
138,10.5
140,4.3076923076923075
142,5.0
143,0.0
144,5.5
145,1.0
146,5.0
147,22.0
149,15.5
150,9.8
151,4.75
152,6.0
153,8.0
154,6.5
155,18.4
156,5.0
157,6.0
158,30.0
159,15.0
160,12.0
161,15.333333333333334
162,4.666666666666667
163,11.0
164,16.0
165,15.0
168,5.5
170,0.0
171,0.0
173,4.0
174,5.0
175,3.5
176,9.5
178,30.0
181,14.0
182,11.166666666666666
183,9.0
184,15.0
186,30.0
187,16.0
188,3.0
189,22.5
190,30.0
191,7.0
192,29.0
193,30.0
194,30.0
195,7.6
196,10.0
197,2.0
200,25.5
201,7.0
202,30.0
203,0.0
204,8.857142857142858
205,12.0
206,8.5
207,21.0
208,9.0
210,2.8666666666666667
211,13.0
212,6.8
214,11.0
215,30.0
216,6.5
217,26.0
218,9.0
219,7.0
220,15.0
221,6.5
222,3.3333333333333335
223,6.9
224,17.0
225,30.0
226,15.2
227,5.0
230,30.0
232,12.333333333333334
233,7.0
234,8.333333333333334
235,7.666666666666667
236,7.142857142857143
237,10.0
241,2.6666666666666665
242,7.0
243,12.333333333333334
245,30.0
247,30.0
248,4.25
249,5.0
255,0.0
256,14.2
257,3.6666666666666665
258,3.3333333333333335
259,6.0
260,10.666666666666666
261,6.0
262,10.666666666666666
264,7.0
267,20.0
269,30.0
270,12.0
271,19.75
273,10.666666666666666
274,3.0
275,0.0
276,17.5
277,3.0
278,2.727272727272727
279,0.0
280,7.8
281,8.666666666666666
282,12.0
283,16.5
284,17.666666666666668
286,0.0
287,2.5
288,30.0
289,6.6
290,6.777777777777778
292,8.0
293,0.0
294,14.0
295,8.0
297,15.0
298,14.0
300,1.8
301,3.0
302,12.0
304,7.571428571428571
305,30.0
306,9.0
307,9.5
309,1.0
310,2.4444444444444446
311,9.0
313,2.125
314,30.0
315,20.0
316,11.333333333333334
319,0.5
320,18.0
321,11.666666666666666
322,16.5
323,3.888888888888889
324,27.0
326,7.0
327,4.9
328,9.333333333333334
329,30.0
331,0.0
332,11.0
333,14.0
334,3.3
336,4.6
338,30.0
341,18.0
342,20.75
343,0.0
345,15.0
346,0.0
348,20.0
349,30.0
350,9.0
351,19.0
352,5.0
353,3.0
357,17.0
359,30.0
362,6.0
363,10.0
364,10.0
365,7.0
369,14.666666666666666
370,10.0
371,0.0
372,21.0
373,5.0
374,24.166666666666668
375,30.0
376,16.5
378,25.5
379,4.25
380,25.333333333333332
381,17.0
382,13.0
384,10.5
385,12.5
386,7.0
389,21.0
390,11.8
391,8.25
392,11.0
393,19.0
